"fips_full","fips_state","fips_county","county_name","county_name_canonical_lower","state"
"01001","01","001","Autauga","autauga","AL"
"01003","01","003","Baldwin","baldwin","AL"
"01005","01","005","Barbour","barbour","AL"
"01007","01","007","Bibb","bibb","AL"
"01009","01","009","Blount","blount","AL"
"01011","01","011","Bullock","bullock","AL"
"01013","01","013","Butler","butler","AL"
"01015","01","015","Calhoun","calhoun","AL"
"01017","01","017","Chambers","chambers","AL"
"01019","01","019","Cherokee","cherokee","AL"
"01021","01","021","Chilton","chilton","AL"
"01023","01","023","Choctaw","choctaw","AL"
"01025","01","025","Clarke","clarke","AL"
"01027","01","027","Clay","clay","AL"
"01029","01","029","Cleburne","cleburne","AL"
"01031","01","031","Coffee","coffee","AL"
"01033","01","033","Colbert","colbert","AL"
"01035","01","035","Conecuh","conecuh","AL"
"01037","01","037","Coosa","coosa","AL"
"01039","01","039","Covington","covington","AL"
"01041","01","041","Crenshaw","crenshaw","AL"
"01043","01","043","Cullman","cullman","AL"
"01045","01","045","Dale","dale","AL"
"01047","01","047","Dallas","dallas","AL"
"01049","01","049","De Kalb","de kalb","AL"
"01051","01","051","Elmore","elmore","AL"
"01053","01","053","Escambia","escambia","AL"
"01055","01","055","Etowah","etowah","AL"
"01057","01","057","Fayette","fayette","AL"
"01059","01","059","Franklin","franklin","AL"
"01061","01","061","Geneva","geneva","AL"
"01063","01","063","Greene","greene","AL"
"01065","01","065","Hale","hale","AL"
"01067","01","067","Henry","henry","AL"
"01069","01","069","Houston","houston","AL"
"01071","01","071","Jackson","jackson","AL"
"01073","01","073","Jefferson","jefferson","AL"
"01075","01","075","Lamar","lamar","AL"
"01077","01","077","Lauderdale","lauderdale","AL"
"01079","01","079","Lawrence","lawrence","AL"
"01081","01","081","Lee","lee","AL"
"01083","01","083","Limestone","limestone","AL"
"01085","01","085","Lowndes","lowndes","AL"
"01087","01","087","Macon","macon","AL"
"01089","01","089","Madison","madison","AL"
"01091","01","091","Marengo","marengo","AL"
"01093","01","093","Marion","marion","AL"
"01095","01","095","Marshall","marshall","AL"
"01097","01","097","Mobile","mobile","AL"
"01099","01","099","Monroe","monroe","AL"
"01101","01","101","Montgomery","montgomery","AL"
"01103","01","103","Morgan","morgan","AL"
"01105","01","105","Perry","perry","AL"
"01107","01","107","Pickens","pickens","AL"
"01109","01","109","Pike","pike","AL"
"01111","01","111","Randolph","randolph","AL"
"01113","01","113","Russell","russell","AL"
"01115","01","115","Saint Clair","saint clair","AL"
"01117","01","117","Shelby","shelby","AL"
"01119","01","119","Sumter","sumter","AL"
"01121","01","121","Talladega","talladega","AL"
"01123","01","123","Tallapoosa","tallapoosa","AL"
"01125","01","125","Tuscaloosa","tuscaloosa","AL"
"01127","01","127","Walker","walker","AL"
"01129","01","129","Washington","washington","AL"
"01131","01","131","Wilcox","wilcox","AL"
"01133","01","133","Winston","winston","AL"
